date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:27	76327/76327	---MCZ	200	added ('OK')	text/html	etag:W/%2212a27-Ld5eVK/U4g//PvICohf8BDq8/Os%22	https://www.centroesteticoeurmontagnola.it/	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/index.html	(from )
17:37:27	105/105	---M--	200	added ('OK')	text/plain	etag:%22620e9298-69%22	https://www.centroesteticoeurmontagnola.it/robots.txt		(from )
17:37:27	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Feb%202025%2016:37:27%20GMT	https://centroesteticoeurmontagnola.it/images/logo_drgimo.png	C:/Mie%20pagine%20Web/Monica/centroesteticoeurmontagnola.it/images/logo_drgimo.0.delayed	(from https://www.centroesteticoeurmontagnola.it/)
17:37:27	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Feb%202025%2016:37:27%20GMT	https://www.centroesteticoeurmontagnola.it/images/logo_drgimo.png	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/images/logo_drgimo.png	(from https://www.centroesteticoeurmontagnola.it/)
17:37:28	2107/2107	---M--	200	added ('OK')	image/png	etag:%22620e8fc2-83b%22	https://www.centroesteticoeurmontagnola.it/images/favicon.png	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/images/favicon.png	(from https://www.centroesteticoeurmontagnola.it/)
17:37:28	14012/14012	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2236bc-qJ7p4Vd1VtSCu2eXLjdNkhmPWjs%22	https://www.centroesteticoeurmontagnola.it/js/script.js	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/js/script.js	(from https://www.centroesteticoeurmontagnola.it/)
17:37:28	133307/133307	---M--	200	added ('OK')	application/javascript	etag:%22620e9019-208bb%22	https://www.centroesteticoeurmontagnola.it/scripts/jquery.js?9adba79dc0e60905bce7	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/scripts/jquery343e.js	(from https://www.centroesteticoeurmontagnola.it/)
17:37:29	525714/525714	---M--	200	added ('OK')	application/javascript	etag:%22620e9019-80592%22	https://www.centroesteticoeurmontagnola.it/scripts/main.js?9adba79dc0e60905bce7	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/scripts/main343e.js	(from https://www.centroesteticoeurmontagnola.it/)
17:37:29	26470/26470	---M--	200	added ('OK')	application/javascript	etag:%22620f8650-6766%22	https://www.centroesteticoeurmontagnola.it/scripts/theme.js?9adba79dc0e60905bce7	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/scripts/theme343e.js	(from https://www.centroesteticoeurmontagnola.it/)
17:37:29	611990/611990	---M--	200	added ('OK')	text/css	etag:%22620e8fc4-95696%22	https://www.centroesteticoeurmontagnola.it/styles/styles.css?9adba79dc0e60905bce7	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/styles/styles343e.css	(from https://www.centroesteticoeurmontagnola.it/)
17:37:29	2524/2524	---M--	200	added ('OK')	text/css	etag:%226220f19d-9dc%22	https://www.centroesteticoeurmontagnola.it/styles/main.css?9adba79dc0e60905bce7	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/styles/main343e.css	(from https://www.centroesteticoeurmontagnola.it/)
17:37:29	18221/18221	---M--	200	added ('OK')	image/svg+xml	etag:%22620e8fc2-472d%22	https://www.centroesteticoeurmontagnola.it/images/logo_drgimo.svg	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/images/logo_drgimo.svg	(from https://www.centroesteticoeurmontagnola.it/)
17:37:30	91782/91782	---MCZ	200	added ('OK')	text/html	etag:W/%2216686-KY8tJ2KFyKG5UUBzJUUAUO1iG2c%22	https://www.centroesteticoeurmontagnola.it/estetica/medicina-estetica	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/estetica/medicina-estetica.html	(from https://www.centroesteticoeurmontagnola.it/)
17:37:30	86478/86478	---MCZ	200	added ('OK')	text/html	etag:W/%22151ce-BPyOd6G5cPje+5VehjqalU98Gic%22	https://www.centroesteticoeurmontagnola.it/estetica/tattoo-piercing	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/estetica/tattoo-piercing.html	(from https://www.centroesteticoeurmontagnola.it/)
17:37:30	87793/87793	---MCZ	200	added ('OK')	text/html	etag:W/%22156f1-tYEQ6jQzt5gqa/W5hQAh9FkLCyQ%22	https://www.centroesteticoeurmontagnola.it/estetica/trucco-semipermamente	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/estetica/trucco-semipermamente.html	(from https://www.centroesteticoeurmontagnola.it/)
17:37:30	20348/20348	---MCZ	200	added ('OK')	text/html	etag:W/%224f7c-MV/nvFFATDH7Ns7L8hCOX6+6ct8%22	https://www.centroesteticoeurmontagnola.it/estetica/estetica-oncologica	C:/Mie%20pagine%20Web/Monica/www.centroesteticoeurmontagnola.it/estetica/estetica-oncologica.html	(from https://www.centroesteticoeurmontagnola.it/)
